id,intent,utterance
447,None,나 팀이 어디야?
448,None,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
449,None,퇴근하고 싶어
450,None,학습 좀 더해
451,None,점심 추천
452,None,아는거
453,None,구매팀
454,None,을지로
455,None,나 졸려
456,None,테블릿
457,None,변호사
458,None,월급일자는 언제인가요?
459,None,ㅋ 궁금한게 있어요?
460,None,불꽃 축제
461,None,작업을 시작합니다
462,None,고마해라
463,None,인사제도 메뉴얼
464,None,왜 두번 말하냐
465,None,System.out.print
466,None,지원
467,None,자동
468,None,수행지원팀 하는일
469,None,금여
470,None,팀 매출은?
471,None,미세먼지는?
472,None,바이~~
473,None,그룹웨어 말고
474,None,ㅋㅋㅋ
475,None,요놈
476,None,수고하세요
477,None,네 점심에 뭐 드셨어요?
478,None,머라니
479,None,머야...
480,None,"다만, 내일 패치도 있으니.. 전부는 못털고."
481,None,PI팀 위치는?
482,None,오늘 일정은
483,None,이건 질문이아니에요
484,None,집에안가니..
485,None,네?
486,None,오늘은 수능일 인가요 ?
487,None,상받았더라 축하해
488,None,통근버스시간표
489,None,퇴근안해?
490,None,신상초
491,None,~ㅅ~
492,None,똘똘아 종로 맛집 아는데 있어?
493,None,여의도 증권타운 맛집?
494,None,(%)
495,None,아니 배고프다고
496,None,220만원
497,None,답변
498,None,똘똘아아아아앙
499,None,비자1
500,None,캐치마인드는 어케함?
501,None,오늘 점심에 뭐먹지?
502,None,($)
503,None,아직 여쭤보지도 않았는데요?
504,None,HITSM
505,None,앞두기 뒤죽박죽이네요
506,None,내년 휴일은 몇일이야
507,None,부보님이 아프신데 지원 같은 건 없나?
508,None,배불뚝이 알아?
509,None,동표
510,None,이준우 핸드폰 번호?
511,None,아는게 많이 없구만..
512,None,너 바보지
513,None,응답없음 일때 어떻게 해야되?>
514,None,글게 나도 퇴근하고픈데
515,None,머신러닝
516,None,아 목이 너무 아펑
517,None,사전견적
518,None,오늘의 점심메뉴는?
519,None,길찾기
520,None,상 받은거 축하해요 ^0^
521,None,ㄳ
522,None,잘가요
523,None,헤이
524,None,매뉴얼
525,None,미쳤나봐
526,None,몇시
527,None,메일 용량
528,None,그럼 언제쯤 답변 하나요?
529,None,나가라고
530,None,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
531,None,우리팀에 누가 온라인이야?
532,None,미안하다..
533,None,꺼져
534,None,굿바이라고!!
535,None,난 오디로 갈까
536,None,공부 좀 해
537,None,메일
538,None,5534 버스
539,None,추워
540,None,바보구나 ~
541,None,요좀
542,None,알고리즘
543,None,그럼 이만
544,None,서클에 로그인이 안 돼요.
545,None,"베트남으로 사업을 잘하고 싶은데, 회사에서 어떤 지원을 받을 수 있나요?"
546,None,아는게 도U;
547,None,잘 모르는게 맣네요
548,None,대화가 안되군요
549,None,맛집
550,None,후배가 자꾸 너무 깐족대요
551,None,많이 모르는 구나
552,None,일루와라
553,None,.
554,None,데이터베이스 문의는
555,None,"어떤 이름이 맘에 드나요? A, B, C"
556,None,회사일정
557,None,맛있는 식당은?
558,None,창립기념품은 언제주나요?
559,None,피곤하다
560,None,안녕하세요.손보ITO팀 오인걸입니다.
561,None,#NAME?
562,None,U-HR
563,None,맛없었어
564,None,결혼하면 얼마주나요?
565,None,별로 안조하
566,None,그거말고
567,None,나도 가고 싶은데..
568,None,지원 가능한 목록
569,None,오... 그래 너는 퇴근 안해?
570,None,구매 매뉴얼
571,None,^^ 반가와요~ 근데 진짜 AI가 맞나요?
572,None,ㅇㅇ 너는 밥먹었니?
573,None,나 이제 퇴근해
574,None,그러게영
575,None,왜 나한테 그래..
576,None,본사주면 맛집을 알려줘
577,None,개명
578,None,저는 연차가 몇 일 남았나요?
579,None,한똘똘 오늘의 시장상황 ?
580,None,ㅋ
581,None,직원검색
582,None,(!)
583,None,후
584,None,저기요
585,None,정신없네요
586,None,머라고 답해야할지모르겠네
587,None,LMS
588,None,우리회사 주소가 알고 싶어요.
589,None,명령어
590,None,점심시간
591,None,배고파
592,None,enc 파일 어떻게 열어?
593,None,똘똘아 배고파
594,None,갤러리아 파트에는 누가 있죠?
595,None,지각
596,None,음..
597,None,좀더 학습이 필요하다
598,None,성별
599,None,집에 가고 싶다
600,None,통제
601,None,맛집알려줘
602,None,머여
603,None,LMS 가 머야?
604,None,[2017-11-23 오후 2:01] 문화규(Moon Howagyu): 네 말씀주십시요
605,None,블럭체인
606,None,여의도 맛집 ?
607,None,회사소식은 알고 있나요?
608,None,헐..
609,ECS_SNC_WEATHER_FORECAST,오늘 날씨
610,ECS_SNC_WEATHER_FORECAST,내일 날씨
611,ECS_SNC_WEATHER_FORECAST,용인 날씨 알려줘
612,ECS_SNC_WEATHER_FORECAST,중구 날씨 알려줘
613,ECS_SNC_WEATHER_FORECAST,날씨가 춥네
614,ECS_SNC_WEATHER_FORECAST,달안동 날씨 알려줘
615,ECS_SNC_WEATHER_FORECAST,오늘 날씨는?
616,ECS_SNC_WEATHER_FORECAST,여의도동 날씨
617,ECS_SNC_WEATHER_FORECAST,오늘 날씨는 어때?
618,ECS_SNC_WEATHER_FORECAST,바깥날씨는 어떻니?
619,ECS_SNC_WEATHER_FORECAST,8시 20분 현재 날씨
620,ECS_SNC_WEATHER_FORECAST,서울특별시 날씨 알려줘
621,ECS_SNC_WEATHER_FORECAST,여의도 날씨 알려주삼
622,ECS_SNC_WEATHER_FORECAST,을지로동 날씨
623,ECS_SNC_WEATHER_FORECAST,월급날은 언제인가요?
624,ECS_SNC_WEATHER_FORECAST,중구 날씨
625,ECS_SNC_WEATHER_FORECAST,바보 다 옛날 정보네
626,ECS_SNC_WEATHER_FORECAST,오늘 날씨 어때?
627,ECS_SNC_WEATHER_FORECAST,날씨 을지로동
628,ECS_SNC_WEATHER_FORECAST,서울 날씨
629,ECS_SNC_WEATHER_FORECAST,여의도 날씨 알려줘
630,ECS_SNC_WEATHER_FORECAST,서울 날씨는 어때?
631,ECS_SNC_WEATHER_FORECAST,서울 날씨는?
632,ECS_SNC_WEATHER_FORECAST,오늘 날씨는 어떤가요?
633,ECS_SNC_WEATHER_FORECAST,백령도 날씨 알려줘
634,ECS_SNC_WEATHER_FORECAST,날씨
635,ECS_SNC_WEATHER_FORECAST,서울 날씨 알려줘
636,ECS_SNC_WEATHER_FORECAST,오늘의 날씨
637,ECS_SNC_WEATHER_FORECAST,경기도 날씨 알려줘
638,ECS_SNC_WEATHER_FORECAST,죽전 날씨 알려줘
639,ECS_SNC_WEATHER_FORECAST,본사 날씨
640,ECS_SNC_WEATHER_FORECAST,화정동 날씨알려줘
641,ECS_SNC_WEATHER_FORECAST,대전 날씨
642,ECS_SNC_WEATHER_FORECAST,오늘 날씨가 어때요?
643,ECS_SNC_WEATHER_FORECAST,을지로 날씨
644,ECS_SNC_WEATHER_FORECAST,용인시 날씨 알려줘
645,ECS_SNC_WEATHER_FORECAST,오늘날씨는?
646,ECS_SNC_WEATHER_FORECAST,오늘 날씨 좀
647,ECS_SNC_WEATHER_FORECAST,어제 종로구 날씨
648,ECS_SNC_WEATHER_FORECAST,여의도동 날씨는?
649,ECS_SNC_WEATHER_FORECAST,속초 날씨 알려줘
650,ECS_SNC_WEATHER_FORECAST,오늘날씨는 어?
651,ECS_SNC_WEATHER_FORECAST,오늘 날씨 말이야
652,ECS_SNC_WEATHER_FORECAST,동작구 날씨 알려줘
653,ECS_SNC_WEATHER_FORECAST,9시 31분 날씨
654,ECS_SNC_WEATHER_FORECAST,장교동 날씨
655,ECS_SNC_WEATHER_FORECAST,대방동 날씨
656,ECS_SNC_WEATHER_FORECAST,을지로 날씨 알려줘
657,ECS_SNC_WEATHER_FORECAST,서울날씨
658,ECS_SNC_WEATHER_FORECAST,오늘 창원 날씨는?
659,ECS_SNC_WEATHER_FORECAST,이번주 날씨는?
660,ECS_SNC_WEATHER_FORECAST,서울특별시 양재 날씨 알려줘
661,ECS_SNC_WEATHER_FORECAST,광명 날씨
662,ECS_SNC_WEATHER_FORECAST,판교 날씨는?
663,ECS_SNC_WEATHER_FORECAST,오늘 날씨는 어떻니
664,ECS_SNC_WEATHER_FORECAST,오늘 날씨 어때 ?
665,ECS_SNC_WEATHER_FORECAST,대구 날씨
666,ECS_SNC_WEATHER_FORECAST,종로구 날씨 알려줘
667,ECS_SNC_WEATHER_FORECAST,경상남도 창원 날씨는?
668,ECS_SNC_WEATHER_FORECAST,오늘 종로 날씨는 어때?
669,ECS_SNC_WEATHER_FORECAST,오늘 날씨는 춥니?
670,ECS_SNC_WEATHER_FORECAST,종로구 날씨
671,ECS_SNC_WEATHER_FORECAST,여의도동 날씨 알려줘
672,ECS_SNC_WEATHER_FORECAST,구미동 날씨 알려줘
673,ECS_SNC_WEATHER_FORECAST,을지로동 날씨 알려줘
674,ECS_SNC_WEATHER_FORECAST,을지로동 날씨 어때?
675,ECS_SNC_WEATHER_FORECAST,서울 오늘 날씨
676,ECS_SNC_WEATHER_FORECAST,내일날씨?
677,ECS_SNC_WEATHER_FORECAST,서울 상계동 날씨는
678,ECS_SNC_WEATHER_FORECAST,내일 날씨는 어떤가요
679,ECS_SNC_WEATHER_FORECAST,성남 날씨는?
680,ECS_SNC_WEATHER_FORECAST,오늘 충청도 날씨 알려주세요
681,ECS_SNC_WEATHER_FORECAST,회사근처 날씨
682,ECS_SNC_WEATHER_FORECAST,오늘 충청도 날씨?
683,ECS_SNC_WEATHER_FORECAST,오늘 경상남도 날씨는?
684,ECS_SNC_WEATHER_FORECAST,현재 날씨
685,ECS_SNC_WEATHER_FORECAST,양재 날씨 알려줘
686,ECS_SNC_WEATHER_FORECAST,부산 날씨
687,ECS_SNC_WEATHER_FORECAST,관양2동 날씨 알려줘
688,ECS_SNC_WEATHER_FORECAST,날씨는
689,ECS_SNC_WEATHER_FORECAST,여의도 날씨?
690,ECS_SNC_WEATHER_FORECAST,서울의 날씨
691,ECS_SNC_WEATHER_FORECAST,기흥구 날씨 알려줘
692,ECS_SNC_WEATHER_FORECAST,오늘 날씨 어때요?
693,ECS_SNC_WEATHER_FORECAST,인천 날씨?
694,ECS_SNC_WEATHER_FORECAST,날씨도 몰라?
695,ECS_SNC_WEATHER_FORECAST,여의도 눈소식
696,ECS_SNC_WEATHER_FORECAST,오늘 날씨는 ?
697,ECS_SNC_WEATHER_FORECAST,안녕하세요? 오늘의 날씨는 어떤가요?
698,ECS_SNC_WEATHER_FORECAST,오늘 날씨가?
699,ECS_SNC_WEATHER_FORECAST,날씨 을지로
700,ECS_SNC_WEATHER_FORECAST,오늘 날씨가 어때?
701,ECS_SNC_WEATHER_FORECAST,날씨가 궁금해 똘똘아
702,ECS_SNC_WEATHER_FORECAST,태전동 날씨 알려줘
703,ECS_SNC_WEATHER_FORECAST,여의도 날씨
704,ECS_SNC_WEATHER_FORECAST,분당 날씨는?
705,ECS_SNC_WEATHER_FORECAST,내일 종로구 날씨
706,ECS_SNC_WEATHER_FORECAST,사직동 날씨 알려줘
707,ECS_SNC_WEATHER_FORECAST,안양시 날씨
708,ECS_SNC_WEATHER_FORECAST,속초 날씨 알려줘요
709,ECS_SNC_WEATHER_FORECAST,을지로 날씨?
710,ECS_SNC_WEATHER_FORECAST,공덕동 날씨는/
711,ECS_SNC_WEATHER_FORECAST,을지로3가 날씨
712,ECS_SNC_WEATHER_FORECAST,광명시 날씨
713,ECS_SNC_WEATHER_FORECAST,오늘 날씨는 어떤가요
714,ECS_SNC_WEATHER_FORECAST,종로 날씨 알려줘
715,ECS_SNC_WEATHER_FORECAST,송내동 날씨
716,ECS_SNC_WEATHER_FORECAST,날씨가 어때요?
717,ECS_SNC_WEATHER_FORECAST,안양 날씨
718,ECS_SNC_WEATHER_FORECAST,여의도 날씨 어때?
719,ECS_SNC_WEATHER_FORECAST,여의도동 날씨?
720,ECS_SNC_WEATHER_FORECAST,부평 날씨
721,ECS_SNC_WEATHER_FORECAST,미얀마 날씨
722,ECS_SNC_WEATHER_FORECAST,사하구 날씨
723,ECS_SNC_WEATHER_FORECAST,여의도날씨?
724,ECS_SNC_WEATHER_FORECAST,날씨알려줘
725,ECS_SNC_WEATHER_FORECAST,날씨가 어떤가요?
726,ECS_SNC_WEATHER_FORECAST,서울시 날씨 알려줘
727,ECS_SNC_WEATHER_FORECAST,지금 날씨
728,ECS_SNC_WEATHER_FORECAST,을지로 날씨 알려주세요
729,ECS_SNC_WEATHER_FORECAST,서울날씨 알려줘
730,ECS_SNC_WEATHER_FORECAST,죽전동 날씨 알려줘
731,ECS_SNC_WEATHER_FORECAST,서울 지금 날씨 알려줘
732,ECS_SNC_WEATHER_FORECAST,비산동 날씨 알려줘
733,ECS_SNC_WEATHER_FORECAST,전국 날씨
734,ECS_SNC_WEATHER_FORECAST,오늘 경남창원 날씨는?
735,ECS_SNC_WEATHER_FORECAST,어제 아래 날씨가 어떻노
736,ECS_SNC_WEATHER_FORECAST,동작구 영등포구 날씨
737,ECS_SNC_WEATHER_FORECAST,오늘 날시
738,ECS_SNC_WEATHER_FORECAST,오늘 서울 날씨
739,ECS_SNC_WEATHER_FORECAST,종로 날씨
740,ECS_SNC_WEATHER_FORECAST,오늘의 날씨는 어떤가요?
741,ECS_SNC_WEATHER_FORECAST,서울특별시 중구 날씨
742,ECS_SNC_WEATHER_FORECAST,그래 오늘 날씨가 궁금하구나
743,ECS_SNC_WEATHER_FORECAST,서초구 서초2동 날씨 알려줘
744,ECS_SNC_WEATHER_FORECAST,광주 날씨
745,ECS_SNC_WEATHER_FORECAST,오늘 날씨가 궁금한데
746,ECS_SNC_WEATHER_FORECAST,오늘의 날씨는 어떻게 되나요?
747,ECS_SNC_WEATHER_FORECAST,날씨정보좀알려줘
748,ECS_SNC_WEATHER_FORECAST,신길7동 날씨
749,ECS_SNC_WEATHER_FORECAST,오늘 날씨는
750,ECS_SNC_WEATHER_FORECAST,부산 날씨는?
751,ECS_SNC_WEATHER_FORECAST,오늘 날씨 알려줘요
752,ECS_SNC_WEATHER_FORECAST,날씨는?
753,ECS_SNC_WEATHER_FORECAST,서울특별시 중구 날씨 알려줘
754,ECS_SNC_WEATHER_FORECAST,여의도 주말 날씨
755,ECS_SNC_WEATHER_FORECAST,죽전동 날씨
756,ECS_SNC_WEATHER_FORECAST,날씨 어때?
757,ECS_SNC_WEATHER_FORECAST,기흥구 날씨를 알려줘
758,ECS_SNC_WEATHER_FORECAST,오늘 경남 창원 날씨는?
759,ECS_SNC_WEATHER_FORECAST,오늘의 날씨는?
760,ECS_SNC_WEATHER_FORECAST,날씨 알려줘
761,ECS_SNC_WEATHER_FORECAST,용인시 날씨
762,ECS_SNC_WEATHER_FORECAST,안양 날씨는?
763,ECS_SNC_WEATHER_FORECAST,여의도 주간날씨
764,ECS_SNC_WEATHER_FORECAST,오늘 종로구 날씨
765,ECS_SNC_WEATHER_FORECAST,제주도 날씨 알려줘
766,ECS_SNC_WEATHER_FORECAST,창원 날씨는?
767,ECS_SNC_WEATHER_FORECAST,오늘 날씨는 어떤가요 ?
768,ECS_SNC_WEATHER_FORECAST,오늘 날씨 너무 추워요
769,ECS_SNC_WEATHER_FORECAST,현재 날씨는?
770,ECS_SNC_WEATHER_FORECAST,서울특별시 관악구 날씨 알려줘
771,ECS_SNC_WEATHER_FORECAST,내일 날씨!
772,ECS_SNC_WEATHER_FORECAST,여의도 내일 날시
773,ECS_SNC_WEATHER_FORECAST,본사 날시
